site,leaf,sampleID,locationID,isolateID,7week
T,1,T1,6-B5,T01-13i_6-B5,CONTAM
T,1,T1,6-B6,T01-14i_6-B6,LOW
T,1,T1,6-B7,T01-15i_6-B7,TRUE
T,1,T1,6-B8,T01-16i_6-B8,TRUE
T,2,T2,6-D1,T02-01i_6-D1,
T,2,T2,6-D2,T02-02i_6-D2,
T,2,T2,6-D,T02-03i_6-D,
T,2,T2,6-D,T02-04i_6-D,
T,2,T2,6-D,T02-05i_6-D,
T,2,T2,6-D,T02-06i_6-D,
T,2,T2,6-D,T02-07i_6-D,
T,2,T2,6-D,T02-08i_6-D,
T,2,T2,6-E1,T02-09i_6-E1,
T,2,T2,6-E,T02-10i_6-E,
T,2,T2,6-E,T02-11i_6-E,
T,2,T2,6-E,T02-12i_6-E,
T,2,T2,6-E,T02-13i_6-E,
T,2,T2,6-E,T02-14i_6-E,
T,2,T2,6-E,T02-15i_6-E,
T,2,T2,6-E,T02-16i_6-E,
T,4,T4,-,T04-01i_-,
T,4,T4,-,T04-02i_-,
T,4,T4,-,T04-03i_-,
T,4,T4,-,T04-04i_-,
T,4,T4,-,T04-05i_-,
T,4,T4,-,T04-06i_-,
T,4,T4,-,T04-07i_-,
T,4,T4,-,T04-08i_-,
T,4,T4,-,T04-09i_-,
T,4,T4,-,T04-10i_-,
T,4,T4,-,T04-11i_-,
T,4,T4,-,T04-12i_-,
T,4,T4,-,T04-13i_-,
T,4,T4,-,T04-14i_-,
T,4,T4,-,T04-15i_-,
T,4,T4,-,T04-16i_-,
T,7,T7,-,T07-01i_-,
T,7,T7,-,T07-02i_-,
T,7,T7,-,T07-03i_-,
T,7,T7,-,T07-04i_-,
T,7,T7,-,T07-05i_-,
T,7,T7,-,T07-06i_-,
T,7,T7,-,T07-07i_-,
T,7,T7,-,T07-08i_-,
T,7,T7,-,T07-09i_-,
T,7,T7,-,T07-10i_-,
T,7,T7,-,T07-11i_-,
T,7,T7,-,T07-12i_-,
T,7,T7,-,T07-13i_-,
T,7,T7,-,T07-14i_-,
T,7,T7,-,T07-15i_-,
T,7,T7,-,T07-16i_-,
T,8,T8,-,T08-01i_-,
T,8,T8,-,T08-02i_-,
T,8,T8,-,T08-03i_-,
T,8,T8,-,T08-04i_-,
T,8,T8,-,T08-05i_-,
T,8,T8,-,T08-06i_-,
T,8,T8,-,T08-07i_-,
T,8,T8,-,T08-08i_-,
T,8,T8,-,T08-09i_-,
T,8,T8,-,T08-10i_-,
T,8,T8,-,T08-11i_-,
T,8,T8,-,T08-12i_-,
T,8,T8,-,T08-13i_-,
T,8,T8,-,T08-14i_-,
T,8,T8,-,T08-15i_-,
T,8,T8,-,T08-16i_-,
