"treatment","evolvedTemp","currentTemp","competition","species","repNum","y0","mumax","K"
"E30HR","30","30","FALSE","rotifer","5",4.0436401100202,0.71352303726535,73.4134662931033
"E25HRP","25","25","TRUE","rotifer","5",3.13931016071565,0.39755734422022,58.9513309397687
"E30NRP","30","25","TRUE","rotifer","5",4.65715631798678,0.273278192768758,59.377028895621
"E25NRP","25","30","TRUE","rotifer","5",4.01666749725836,0.442466920873495,67.1032886845845
"E30HRP","30","30","TRUE","rotifer","5",6.88362780743059,0.263276905889804,69.7464247770003
"E25HR","25","25","FALSE","rotifer","6",3.09483849900481,0.361713547843452,79.4575380649742
"E30NR","30","25","FALSE","rotifer","6",2.37644116277652,0.412101473416732,66.2696267114618
"E25NR","25","30","FALSE","rotifer","6",1.43288775652194,1.03857319480683,68.2291558685382
"E30HR","30","30","FALSE","rotifer","6",0.850048019668633,1.06115316383634,70.5286128098545
"E25HRP","25","25","TRUE","rotifer","6",2.90343161313451,0.452812281278973,49.4365747148826
"E30NRP","30","25","TRUE","rotifer","6",0.401108160950802,0.584751885786383,38.0717338981308
"E25NRP","25","30","TRUE","rotifer","6",3.43712844326778,0.508762565972406,58.8453063990682
"E30HRP","30","30","TRUE","rotifer","6",2.38109906954234,0.571528798239977,37.4164803944321
"E25HR","25","25","FALSE","rotifer","7",1.4410145277769,0.556852465741727,65.4657650630428
"E30NR","30","25","FALSE","rotifer","7",0.973819539879174,0.650936575908664,64.6565481644128
"E25NR","25","30","FALSE","rotifer","7",0.0157051412178427,2.36642042370036,79.1182211220164
"E30HR","30","30","FALSE","rotifer","7",3.2938316091084,0.7987195074862,64.3106788944712
"E25HRP","25","25","TRUE","rotifer","7",1.47696277650118,0.589802208222576,51.8735758983384
"E30NRP","30","25","TRUE","rotifer","7",3.58683449625084,0.28053462681216,58.9465973637943
"E25NRP","25","30","TRUE","rotifer","7",5.91623271946579,0.301328880346454,72.8064900728173
"E30HRP","30","30","TRUE","rotifer","7",4.79870317973961,0.342630629629042,47.880722183512
"E25HR","25","25","FALSE","rotifer","8",1.79577849021698,0.600349206260247,51.7095051713279
"E30NR","30","25","FALSE","rotifer","8",0.0470850254955507,1.18321834453342,46.199120457919
"E25NR","25","30","FALSE","rotifer","8",0.873845792855262,1.01220970484696,67.0029750508242
"E30HR","30","30","FALSE","rotifer","8",1.06808339869337,0.866814797928919,57.0229878548925
"E25HRP","25","25","TRUE","rotifer","8",0.00515854732489107,1.54722731800614,41.0125838270569
"E30NRP","30","25","TRUE","rotifer","8",0.348344343665771,0.881235201043886,32.5385318829929
"E25NRP","25","30","TRUE","rotifer","8",1.78926796059211,0.71381314468421,44.5245131998364
"E30HRP","30","30","TRUE","rotifer","8",3.84565827803311,0.483981847439998,41.5136750820144
"E25HR","25","25","FALSE","rotifer","9",1.37597017236311,0.648793594513573,77.8830646300537
"E30NR","30","25","FALSE","rotifer","9",7.28302577635009e-05,2.06411039038651,47.80187792496
"E25NR","25","30","FALSE","rotifer","9",0.438967594636046,1.42034946622004,72.7845936432767
"E30HR","30","30","FALSE","rotifer","9",0.0270468346998665,1.86386319966521,71.8063656073385
"E25HRP","25","25","TRUE","rotifer","9",1.16793414297997,0.685177097494956,40.4777475003392
"E30NRP","30","25","TRUE","rotifer","9",2.34457954639098,0.36793687620715,48.0546936563373
"E25NRP","25","30","TRUE","rotifer","9",1.59346300302352,0.693699721753284,60.0121087169413
"E30HRP","30","30","TRUE","rotifer","9",2.73210149573273,0.583059617611267,36.9731900059821
"E25HR","25","25","FALSE","rotifer","10",0.0287896227785783,1.22397301465556,57.2182335401149
"E30NR","30","25","FALSE","rotifer","10",1.61211352762074,0.542286707687717,65.0366677539174
"E25NR","25","30","FALSE","rotifer","10",0.311221774584921,1.45599859315093,62.3714219048052
"E30HR","30","30","FALSE","rotifer","10",0.578672435975234,1.13267565414533,54.285202987645
"E25HRP","25","25","TRUE","rotifer","10",3.10975005904147,0.431102986314565,50.0555423760077
"E30NRP","30","25","TRUE","rotifer","10",4.48283823059086,0.226053481612364,55.5492125090775
"E25NRP","25","30","TRUE","rotifer","10",1.87790346397159,0.723142334828213,59.0070014123777
"E30HRP","30","30","TRUE","rotifer","10",2.67761318306157,0.464474788389447,48.3216223009525
