"treatment","evolvedTemp","currentTemp","competition","species","repNum","y0","mumax","K","evoRotifTemp","logmumax","compFact"
"HP",25,"25",FALSE,"protist","4",29.9999879843395,1.34624447084141,1085.77667981601,"Protist only (25C)",0.297318842398437,"noComp"
"NP",25,"30",FALSE,"protist","4",29.9999935542134,2.27749067389067,728.242929488655,"Protist only (25C)",0.823074255254752,"noComp"
"E25HRP",25,"25",TRUE,"protist","4",29.999998159002,1.48293550955869,500.000042352505,"25C",0.394023575735983,"rotif25"
"E30NRP",30,"25",TRUE,"protist","4",29.9999961301585,0.794313697834043,763.225617578764,"30C",-0.230276810327398,"rotif30"
"E25NRP",25,"30",TRUE,"protist","4",29.9997835427016,5.17075861418554,584.73125027369,"25C",1.64301941164099,"rotif25"
"E30HRP",30,"30",TRUE,"protist","4",29.9999767659603,1.74085641915385,663.672193832501,"30C",0.554377187054257,"rotif30"
"HP",25,"25",FALSE,"protist","5",29.9999705900649,1.96619174820823,803.0015173096,"Protist only (25C)",0.676098549119701,"noComp"
"NP",25,"30",FALSE,"protist","5",3.63295058261466,7.99998481743641,605.923054746841,"Protist only (25C)",2.07943964385759,"noComp"
"E25HRP",25,"25",TRUE,"protist","5",29.9999959279417,1.50149111291256,500.000025127033,"25C",0.40645868961758,"rotif25"
"E30NRP",30,"25",TRUE,"protist","5",29.9999937249745,1.09488451503728,727.820584641312,"30C",0.0906488919871893,"rotif30"
"E25NRP",25,"30",TRUE,"protist","5",29.9999669712861,2.12840273052488,791.570366639941,"25C",0.755371806639497,"rotif25"
"E30HRP",30,"30",TRUE,"protist","5",29.999987059713,2.12854610392876,726.173922201894,"30C",0.755439166342193,"rotif30"
"HP",25,"25",FALSE,"protist","6",29.9999936641851,1.50265803675563,1058.80174218485,"Protist only (25C)",0.407235564428793,"noComp"
"NP",25,"30",FALSE,"protist","6",29.9998780735179,2.32294040079116,782.954484431544,"Protist only (25C)",0.842833797321034,"noComp"
"E25HRP",25,"25",TRUE,"protist","6",8.81175966673388,2.47110286601955,583.659549475331,"25C",0.90466455544779,"rotif25"
"E30NRP",30,"25",TRUE,"protist","6",17.1794825695912,1.91951994667035,700.366812955168,"30C",0.652075127001677,"rotif30"
"E25NRP",25,"30",TRUE,"protist","6",29.9999915676953,1.56958962397541,1039.18399727949,"25C",0.450814199190017,"rotif25"
"E30HRP",30,"30",TRUE,"protist","6",29.9999826055928,1.81539488064088,729.64327650981,"30C",0.596303009144354,"rotif30"
"HP",25,"25",FALSE,"protist","7",29.9999938759914,1.18438473332209,976.731095074576,"Protist only (25C)",0.16922342736325,"noComp"
"NP",25,"30",FALSE,"protist","7",5.00345195220848,7.06922914726785,585.579339982309,"Protist only (25C)",1.95575144246027,"noComp"
"E25HRP",25,"25",TRUE,"protist","7",29.9999719645798,1.82147136757258,547.008299512453,"25C",0.5996446181953,"rotif25"
"E30NRP",30,"25",TRUE,"protist","7",29.9999969171938,4.23085017223559,500.000051598864,"30C",1.44240295920725,"rotif30"
"E25NRP",25,"30",TRUE,"protist","7",29.9999877435942,1.89678162131023,910.699789479247,"25C",0.640158566408657,"rotif25"
"E30HRP",30,"30",TRUE,"protist","7",29.9999856638109,2.44161069083829,630.162781143269,"30C",0.89265794071829,"rotif30"
"HP",25,"25",FALSE,"protist","8",29.9999955288569,0.871414198181305,1135.85134883082,"Protist only (25C)",-0.137637871902379,"noComp"
"NP",25,"30",FALSE,"protist","8",8.60406557234464,5.21188799892039,713.171345816874,"Protist only (25C)",1.65094216995273,"noComp"
"E25HRP",25,"25",TRUE,"protist","8",29.999967082526,1.85371094154625,664.52582716378,"25C",0.617189544279722,"rotif25"
"E30NRP",30,"25",TRUE,"protist","8",29.9999491789447,1.53085209487389,605.101751979708,"30C",0.425824505133488,"rotif30"
"E25NRP",25,"30",TRUE,"protist","8",29.9999599341766,1.9814768373746,793.89150214781,"25C",0.68384244414001,"rotif25"
"E30HRP",30,"30",TRUE,"protist","8",29.9998972808544,1.71908305591457,707.130440676521,"30C",0.541791041646873,"rotif30"
"HP",25,"25",FALSE,"protist","9",29.9999854470566,1.79373624515934,1057.78964273545,"Protist only (25C)",0.584300732292542,"noComp"
"NP",25,"30",FALSE,"protist","9",29.9999822518829,2.54359342335841,723.024728946842,"Protist only (25C)",0.93357781484338,"noComp"
"E25HRP",25,"25",TRUE,"protist","9",29.9999991115236,3.84384493444235,500.000013882895,"25C",1.3464731506592,"rotif25"
"E30NRP",30,"25",TRUE,"protist","9",29.9999754811722,1.73903512176335,734.140254946123,"30C",0.553330431696862,"rotif30"
"E25NRP",25,"30",TRUE,"protist","9",29.9999735873412,3.25168344637636,678.230444648559,"25C",1.17917284573492,"rotif25"
"E30HRP",30,"30",TRUE,"protist","9",13.5509951282261,7.99999540310314,703.801375835238,"30C",2.07944096706756,"rotif30"
"HP",25,"25",FALSE,"protist","10",29.999981475812,1.34875192755929,876.577420018821,"Protist only (25C)",0.299179666734162,"noComp"
"NP",25,"30",FALSE,"protist","10",15.930371471979,7.99999714857825,756.310259013471,"Protist only (25C)",2.07944118525205,"noComp"
"E25HRP",25,"25",TRUE,"protist","10",29.9999715095354,1.85929255189968,937.350365750832,"25C",0.620196066933262,"rotif25"
"E30NRP",30,"25",TRUE,"protist","10",29.9999690063912,1.69055231844129,694.062525799613,"30C",0.525055291188114,"rotif30"
"E25NRP",25,"30",TRUE,"protist","10",15.2148723676168,7.9999970250066,790.298505649706,"25C",2.07944116980559,"rotif25"
"E30HRP",30,"30",TRUE,"protist","10",29.9999776388505,1.86399346473066,998.523043003279,"30C",0.622721210211472,"rotif30"
