"taxon","evolvedTemp","currentTemp","competition","replicate","y0","y0_se","r","r_se","alpha","alpha_se","pseudo_r2","converged","n_iter","n_obs","y0_at_bound","r_at_bound","alpha_at_bound"
"Rotifer","25","30","FALSE","10",3.00000045247507,NA,0.0359548217943583,NA,0.000567424002330511,NA,0.867930036271193,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","30","FALSE","10",3.00000019824426,NA,0.0305824994139729,NA,0.000551582564689299,NA,0.946723606239892,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","25","25","TRUE","10",3.10975067391726,NA,0.0179626233003866,NA,0.000358853821662101,NA,0.936272191847271,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","30","25","TRUE","10",4.48283647038221,NA,0.00941890043233609,NA,0.000169559653673104,NA,0.93265203047425,TRUE,NA,16,FALSE,TRUE,TRUE
"Rotifer","25","30","TRUE","10",3.00000042798481,NA,0.0259085949962123,NA,0.000433225173267394,NA,0.921730160177066,TRUE,NA,16,TRUE,TRUE,TRUE
"Rotifer","30","30","TRUE","10",3.00000090662884,NA,0.0185367048628766,NA,0.000381707122823257,NA,0.8866106519277,TRUE,NA,16,TRUE,TRUE,TRUE
"Protist","25","25","FALSE","1",14.999988455275,NA,0.0853279950140975,NA,6.43547809255783e-05,NA,0.752153938982287,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","FALSE","1",14.9999544049731,NA,0.117220453867398,NA,0.000124859122270296,NA,0.419965599243275,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","TRUE","1",14.9999969474087,NA,0.069470009953434,NA,8.97941634269185e-05,NA,0.614707838694776,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","25","TRUE","1",14.9999702188725,NA,0.0870344668371158,NA,9.84537089617654e-05,NA,0.607471013755818,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","TRUE","1",14.9999815963513,NA,0.0920874171256239,NA,8.80481413051058e-05,NA,0.744317782262813,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","30","TRUE","1",14.9999875521349,NA,0.113229958295851,NA,0.00014487368184163,NA,0.305768631759324,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","FALSE","2",14.9999934176171,NA,0.0498793897311656,NA,3.67940208417726e-05,NA,0.787574041561242,TRUE,NA,16,TRUE,TRUE,TRUE
"Protist","25","30","FALSE","2",5.00010597327854,NA,0.29680409006357,NA,0.000428436308984522,NA,0.52302520076394,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","25","25","TRUE","2",14.9999470150613,NA,0.095762810978141,NA,0.00010747618497146,NA,0.740053072752408,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","25","TRUE","2",14.9999896575637,NA,0.0723319796772341,NA,9.99713625967514e-05,NA,0.641583388985719,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","TRUE","2",14.9999430504034,NA,0.192781102197088,NA,0.000240838873678464,NA,0.522008067152557,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","30","30","TRUE","2",14.9999960906468,NA,0.0909558980585844,NA,0.000110898066965432,NA,0.617390114245601,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","FALSE","3",14.9999974152265,NA,0.0577190565876278,NA,5.08895341213721e-05,NA,0.843854675471642,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","FALSE","3",14.9999954280801,NA,0.121878973413531,NA,0.000225089195101072,NA,0.348614800764951,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","25","25","TRUE","3",14.9999987237048,NA,0.0877228521288811,NA,0.000143864447817865,NA,0.827042411311004,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","25","TRUE","3",14.999976863978,NA,0.187217493678244,NA,0.00035064256588675,NA,0.450480982945393,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","25","30","TRUE","3",14.9999895216212,NA,0.106302166598383,NA,0.000157658891154025,NA,0.297348063417781,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","30","TRUE","3",14.9999770486117,NA,0.100628723051571,NA,0.000150046703748594,NA,0.37785491173221,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","FALSE","4",14.9999963588562,NA,0.0664826879072734,NA,6.16187506690773e-05,NA,0.715243721111634,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","FALSE","4",14.9999929723639,NA,0.11073327486737,NA,0.000152211737868918,NA,0.586205185831288,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","TRUE","4",14.9999903523318,NA,0.0776372314777751,NA,0.000159991453665782,NA,0.572385790820737,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","30","25","TRUE","4",14.9999974047863,NA,0.0400641002555672,NA,5.3263114154121e-05,NA,0.734992302246086,TRUE,NA,16,TRUE,TRUE,TRUE
"Protist","25","30","TRUE","4",14.9999137825782,NA,0.266168551266938,NA,0.000456101675211112,NA,0.266850962052025,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","30","30","TRUE","4",14.9999958567632,NA,0.0866519741939555,NA,0.000130901515933857,NA,0.559650754594761,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","25","FALSE","5",14.9999837278988,NA,0.10105334519273,NA,0.000126884554881299,NA,0.707263005989138,TRUE,NA,16,TRUE,FALSE,TRUE
"Protist","25","30","FALSE","5",5.0000265377593,NA,0.314264616879373,NA,0.000518608129102323,NA,0.522337229624463,TRUE,NA,16,TRUE,FALSE,FALSE
"Protist","25","25","TRUE","5",14.9999896533545,NA,0.081648636356618,NA,0.00017212806142345,NA,0.5181548926059,TRUE,NA,16,TRUE,FALSE,TRUE
