"day","evolvedTemp","currentTemp","competition","species","treatID","repNum","repID","singlePass","fullSlide","passConvert","count","hour"
1.5,"30","30","TRUE","protist","E30HRP","1","I",57,NA,387.6,387.6,36
1.5,"30","25","TRUE","protist","E30NRP","1","J",57,NA,387.6,387.6,36
1.5,"25","25","FALSE","protist","HP","2","E",102,NA,693.6,693.6,36
1.5,"25","30","FALSE","protist","NP","2","F",111,NA,754.8,754.8,36
1.5,"25","25","TRUE","protist","E25HRP","2","G",43,NA,292.4,292.4,36
1.5,"25","30","TRUE","protist","E25NRP","2","H",124,NA,843.2,843.2,36
1.5,"30","30","TRUE","protist","E30HRP","2","I",76,NA,516.8,516.8,36
1.5,"30","25","TRUE","protist","E30NRP","2","J",56,NA,380.8,380.8,36
1.5,"25","25","FALSE","protist","HP","3","E",38,NA,258.4,258.4,36
1.5,"25","30","FALSE","protist","NP","3","F",44,NA,299.2,299.2,36
1.5,"25","25","TRUE","protist","E25HRP","3","G",30,NA,204,204,36
1.5,"25","30","TRUE","protist","E25NRP","3","H",48,NA,326.4,326.4,36
1.5,"30","30","TRUE","protist","E30HRP","3","I",28,NA,190.4,190.4,36
1.5,"30","25","TRUE","protist","E30NRP","3","J",66,NA,448.8,448.8,36
1.5,"25","25","FALSE","protist","HP","4","E",47,NA,319.6,319.6,36
1.5,"25","30","FALSE","protist","NP","4","F",58,NA,394.4,394.4,36
1.5,"25","25","TRUE","protist","E25HRP","4","G",28,NA,190.4,190.4,36
1.5,"25","30","TRUE","protist","E25NRP","4","H",72,NA,489.6,489.6,36
1.5,"30","30","TRUE","protist","E30HRP","4","I",32,NA,217.6,217.6,36
1.5,"30","25","TRUE","protist","E30NRP","4","J",12,NA,81.6,81.6,36
1.5,"25","25","FALSE","protist","HP","5","E",40,NA,272,272,36
1.5,"25","30","FALSE","protist","NP","5","F",65,NA,442,442,36
1.5,"25","25","TRUE","protist","E25HRP","5","G",51,NA,346.8,346.8,36
1.5,"25","30","TRUE","protist","E25NRP","5","H",50,NA,340,340,36
1.5,"30","30","TRUE","protist","E30HRP","5","I",58,NA,394.4,394.4,36
1.5,"30","25","TRUE","protist","E30NRP","5","J",48,NA,326.4,326.4,36
1.5,"25","25","FALSE","protist","HP","6","E",88,NA,598.4,598.4,36
1.5,"25","30","FALSE","protist","NP","6","F",75,NA,510,510,36
1.5,"25","25","TRUE","protist","E25HRP","6","G",33,NA,224.4,224.4,36
1.5,"25","30","TRUE","protist","E25NRP","6","H",42,NA,285.6,285.6,36
1.5,"30","30","TRUE","protist","E30HRP","6","I",55,NA,374,374,36
1.5,"30","25","TRUE","protist","E30NRP","6","J",40,NA,272,272,36
1.5,"25","25","FALSE","protist","HP","7","E",70,NA,476,476,36
1.5,"25","30","FALSE","protist","NP","7","F",122,NA,829.6,829.6,36
1.5,"25","25","TRUE","protist","E25HRP","7","G",59,NA,401.2,401.2,36
1.5,"25","30","TRUE","protist","E25NRP","7","H",71,NA,482.8,482.8,36
1.5,"30","30","TRUE","protist","E30HRP","7","I",52,NA,353.6,353.6,36
1.5,"30","25","TRUE","protist","E30NRP","7","J",78,NA,530.4,530.4,36
1.5,"25","25","FALSE","protist","HP","8","E",77,NA,523.6,523.6,36
1.5,"25","30","FALSE","protist","NP","8","F",114,NA,775.2,775.2,36
1.5,"25","25","TRUE","protist","E25HRP","8","G",51,NA,346.8,346.8,36
1.5,"25","30","TRUE","protist","E25NRP","8","H",35,NA,238,238,36
1.5,"30","30","TRUE","protist","E30HRP","8","I",34,NA,231.2,231.2,36
1.5,"30","25","TRUE","protist","E30NRP","8","J",49,NA,333.2,333.2,36
1.5,"25","25","FALSE","protist","HP","9","E",119,NA,809.2,809.2,36
1.5,"25","30","FALSE","protist","NP","9","F",75,NA,510,510,36
1.5,"25","25","TRUE","protist","E25HRP","9","G",68,NA,462.4,462.4,36
1.5,"25","30","TRUE","protist","E25NRP","9","H",79,NA,537.2,537.2,36
1.5,"30","30","TRUE","protist","E30HRP","9","I",67,NA,455.6,455.6,36
1.5,"30","25","TRUE","protist","E30NRP","9","J",50,NA,340,340,36
1.5,"25","25","FALSE","protist","HP","10","E",39,NA,265.2,265.2,36
1.5,"25","30","FALSE","protist","NP","10","F",126,NA,856.8,856.8,36
1.5,"25","25","TRUE","protist","E25HRP","10","G",47,NA,319.6,319.6,36
1.5,"25","30","TRUE","protist","E25NRP","10","H",61,NA,414.8,414.8,36
1.5,"30","30","TRUE","protist","E30HRP","10","I",100,NA,680,680,36
1.5,"30","25","TRUE","protist","E30NRP","10","J",33,NA,224.4,224.4,36
2,"25","25","FALSE","protist","HP","1","E",98,NA,666.4,666.4,48
2,"25","30","FALSE","protist","NP","1","F",89,NA,605.2,605.2,48
2,"25","25","TRUE","protist","E25HRP","1","G",60,NA,408,408,48
2,"25","30","TRUE","protist","E25NRP","1","H",90,NA,612,612,48
2,"30","30","TRUE","protist","E30HRP","1","I",82,NA,557.6,557.6,48
2,"30","25","TRUE","protist","E30NRP","1","J",80,NA,544,544,48
2,"25","25","FALSE","protist","HP","2","E",37,NA,251.6,251.6,48
2,"25","30","FALSE","protist","NP","2","F",111,NA,754.8,754.8,48
2,"25","25","TRUE","protist","E25HRP","2","G",88,NA,598.4,598.4,48
2,"25","30","TRUE","protist","E25NRP","2","H",55,NA,374,374,48
2,"30","30","TRUE","protist","E30HRP","2","I",62,NA,421.6,421.6,48
2,"30","25","TRUE","protist","E30NRP","2","J",38,NA,258.4,258.4,48
2,"25","25","FALSE","protist","HP","3","E",97,NA,659.6,659.6,48
2,"25","30","FALSE","protist","NP","3","F",66,NA,448.8,448.8,48
2,"25","25","TRUE","protist","E25HRP","3","G",68,NA,462.4,462.4,48
2,"25","30","TRUE","protist","E25NRP","3","H",62,NA,421.6,421.6,48
2,"30","30","TRUE","protist","E30HRP","3","I",80,NA,544,544,48
2,"30","25","TRUE","protist","E30NRP","3","J",59,NA,401.2,401.2,48
2,"25","25","FALSE","protist","HP","4","E",107,NA,727.6,727.6,48
2,"25","30","FALSE","protist","NP","4","F",63,NA,428.4,428.4,48
2,"25","25","TRUE","protist","E25HRP","4","G",42,NA,285.6,285.6,48
2,"25","30","TRUE","protist","E25NRP","4","H",55,NA,374,374,48
2,"30","30","TRUE","protist","E30HRP","4","I",70,NA,476,476,48
2,"30","25","TRUE","protist","E30NRP","4","J",33,NA,224.4,224.4,48
2,"25","25","FALSE","protist","HP","5","E",111,NA,754.8,754.8,48
2,"25","30","FALSE","protist","NP","5","F",88,NA,598.4,598.4,48
2,"25","25","TRUE","protist","E25HRP","5","G",19,NA,129.2,129.2,48
2,"25","30","TRUE","protist","E25NRP","5","H",60,NA,408,408,48
2,"30","30","TRUE","protist","E30HRP","5","I",63,NA,428.4,428.4,48
2,"30","25","TRUE","protist","E30NRP","5","J",28,NA,190.4,190.4,48
2,"25","25","FALSE","protist","HP","6","E",35,NA,238,238,48
2,"25","30","FALSE","protist","NP","6","F",37,NA,251.6,251.6,48
2,"25","25","TRUE","protist","E25HRP","6","G",56,NA,380.8,380.8,48
2,"25","30","TRUE","protist","E25NRP","6","H",43,NA,292.4,292.4,48
2,"30","30","TRUE","protist","E30HRP","6","I",34,NA,231.2,231.2,48
2,"30","25","TRUE","protist","E30NRP","6","J",55,NA,374,374,48
2,"25","25","FALSE","protist","HP","7","E",27,NA,183.6,183.6,48
2,"25","30","FALSE","protist","NP","7","F",80,NA,544,544,48
2,"25","25","TRUE","protist","E25HRP","7","G",38,NA,258.4,258.4,48
2,"25","30","TRUE","protist","E25NRP","7","H",77,NA,523.6,523.6,48
2,"30","30","TRUE","protist","E30HRP","7","I",80,NA,544,544,48
2,"30","25","TRUE","protist","E30NRP","7","J",43,NA,292.4,292.4,48
2,"25","25","FALSE","protist","HP","8","E",38,NA,258.4,258.4,48
2,"25","30","FALSE","protist","NP","8","F",77,NA,523.6,523.6,48
2,"25","25","TRUE","protist","E25HRP","8","G",49,NA,333.2,333.2,48
2,"25","30","TRUE","protist","E25NRP","8","H",58,NA,394.4,394.4,48
2,"30","30","TRUE","protist","E30HRP","8","I",47,NA,319.6,319.6,48
2,"30","25","TRUE","protist","E30NRP","8","J",16,NA,108.8,108.8,48
2,"25","25","FALSE","protist","HP","9","E",40,NA,272,272,48
2,"25","30","FALSE","protist","NP","9","F",65,NA,442,442,48
2,"25","25","TRUE","protist","E25HRP","9","G",79,NA,537.2,537.2,48
2,"25","30","TRUE","protist","E25NRP","9","H",81,NA,550.8,550.8,48
2,"30","30","TRUE","protist","E30HRP","9","I",100,NA,680,680,48
2,"30","25","TRUE","protist","E30NRP","9","J",29,NA,197.2,197.2,48
2,"25","25","FALSE","protist","HP","10","E",35,NA,238,238,48
2,"25","30","FALSE","protist","NP","10","F",99,NA,673.2,673.2,48
2,"25","25","TRUE","protist","E25HRP","10","G",78,NA,530.4,530.4,48
2,"25","30","TRUE","protist","E25NRP","10","H",82,NA,557.6,557.6,48
2,"30","30","TRUE","protist","E30HRP","10","I",39,NA,265.2,265.2,48
2,"30","25","TRUE","protist","E30NRP","10","J",22,NA,149.6,149.6,48
2.5,"25","25","FALSE","protist","HP","1","E",106,NA,720.8,720.8,60
2.5,"25","30","FALSE","protist","NP","1","F",145,NA,986,986,60
2.5,"25","25","TRUE","protist","E25HRP","1","G",40,NA,272,272,60
2.5,"25","30","TRUE","protist","E25NRP","1","H",119,NA,809.2,809.2,60
2.5,"30","30","TRUE","protist","E30HRP","1","I",103,NA,700.4,700.4,60
2.5,"30","25","TRUE","protist","E30NRP","1","J",76,NA,516.8,516.8,60
2.5,"25","25","FALSE","protist","HP","2","E",84,NA,571.2,571.2,60
2.5,"25","30","FALSE","protist","NP","2","F",127,NA,863.6,863.6,60
2.5,"25","25","TRUE","protist","E25HRP","2","G",95,NA,646,646,60
2.5,"25","30","TRUE","protist","E25NRP","2","H",119,NA,809.2,809.2,60
2.5,"30","30","TRUE","protist","E30HRP","2","I",79,NA,537.2,537.2,60
2.5,"30","25","TRUE","protist","E30NRP","2","J",56,NA,380.8,380.8,60
2.5,"25","25","FALSE","protist","HP","3","E",67,NA,455.6,455.6,60
2.5,"25","30","FALSE","protist","NP","3","F",69,NA,469.2,469.2,60
2.5,"25","25","TRUE","protist","E25HRP","3","G",54,NA,367.2,367.2,60
2.5,"25","30","TRUE","protist","E25NRP","3","H",95,NA,646,646,60
2.5,"30","30","TRUE","protist","E30HRP","3","I",94,NA,639.2,639.2,60
2.5,"30","25","TRUE","protist","E30NRP","3","J",65,NA,442,442,60
2.5,"25","25","FALSE","protist","HP","4","E",47,NA,319.6,319.6,60
2.5,"25","30","FALSE","protist","NP","4","F",121,NA,822.8,822.8,60
2.5,"25","25","TRUE","protist","E25HRP","4","G",44,NA,299.2,299.2,60
2.5,"25","30","TRUE","protist","E25NRP","4","H",66,NA,448.8,448.8,60
