"evolvedTemp","currentTemp","competition","repNum","y0","r","alpha","r_se","alpha_se","pseudo_r2_log","pseudo_r2_count","converged","n_iter","n_obs","r_at_bound","alpha_at_bound"
"25","30","TRUE","6",31,0.0988227833768144,0.000114181667392101,NA,NA,0.768649435887312,0.505116445845914,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","7",30,0.245334471031544,0.000338157565028992,NA,NA,0.730925329057356,0.257491793301415,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","8",15,0.269783990913456,0.000421420573720395,NA,NA,0.796308995579405,0.343822996046526,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","9",9,0.297768143604927,0.00051067078697994,NA,NA,0.81170004944572,0.299867453029174,TRUE,NA,16,FALSE,FALSE
"25","30","TRUE","10",29,0.253869535181099,0.000344954355093513,NA,NA,0.811405564702485,0.292606328270718,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","1",7,0.149127962864669,0.000195390803180046,NA,NA,0.933861564823951,0.534301130362374,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","2",12,0.14896001840778,0.000251735391775834,NA,NA,0.884125444557022,0.484264801037218,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","3",17,0.203945142179547,0.000406774875611789,NA,NA,0.891098593200718,0.434358889807733,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","4",8,0.257005837226485,0.000580575257359457,NA,NA,0.698924123642853,0.204479739441657,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","5",17,0.213062082696098,0.000398229070125299,NA,NA,0.802486691543615,0.336017027146985,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","6",17,0.0840526609186697,0.000123856645944121,NA,NA,0.96254559475664,0.833463651386092,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","7",20,0.2483147917591,0.000578084495840527,NA,NA,0.760874661934591,0.245202297401101,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","8",18,0.110607209136455,0.000213993208452048,NA,NA,0.803984519429751,0.593107930143821,TRUE,NA,16,FALSE,FALSE
"30","25","TRUE","9",17,0.208898499256514,0.000349031151939643,NA,NA,0.819357832509122,0.415566746509254,TRUE,NA,16,FALSE,FALSE
