"evolvedTemp","currentTemp","competition","repNum","y0","r","alpha","r_se","alpha_se","pseudo_r2","converged","n_iter","n_obs","r_at_bound","alpha_at_bound","taxon"
"30","30","FALSE","7",9,0.0215847799091968,0.000325116656586324,NA,NA,0.919153545041313,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","FALSE","8",5,0.0217181202234101,0.000365041051268499,NA,NA,0.877253871206353,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","FALSE","9",1,0.0422040334605867,0.0005721827531194,NA,NA,0.883091043241289,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","FALSE","10",3,0.0305823698087432,0.000551579433374727,NA,NA,0.946723608273445,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","TRUE","1",4,0.0155356365364881,0.000307969323275886,NA,NA,0.917073413024195,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","TRUE","2",5,0.0156568221953455,0.000349965055340959,NA,NA,0.923387271126537,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","TRUE","3",5,0.0154317112186307,0.000393304825448736,NA,NA,0.753785308167663,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","TRUE","4",4,0.0169120016917859,0.000329104341173008,NA,NA,0.870506638259463,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","TRUE","5",12,0.00759005853939692,0.000100003927066057,NA,NA,0.910007319915574,TRUE,NA,16,TRUE,TRUE,"Rotifer"
"30","30","TRUE","6",7,0.012265184246385,0.000290310797882723,NA,NA,0.843500542307034,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","TRUE","7",6,0.0126800068457736,0.000260002611347869,NA,NA,0.892689403573178,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","TRUE","8",3,0.022737505323663,0.000557538672100335,NA,NA,0.856290230736509,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","TRUE","9",1,0.036802024878075,0.0010509334232781,NA,NA,0.817223973315098,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"30","30","TRUE","10",7,0.0121471387572685,0.000235111367738966,NA,NA,0.852554209430457,TRUE,NA,16,FALSE,TRUE,"Rotifer"
"25","25","FALSE","1",13,0.0881740359953336,6.65654085265438e-05,NA,NA,0.751226246338771,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","FALSE","2",15,0.0498797231524264,3.67943193641194e-05,NA,NA,0.787574047936972,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","FALSE","3",12,0.0602912203225729,5.32161254390408e-05,NA,NA,0.837515231980394,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","FALSE","4",9,0.0742051836812986,6.90610342256533e-05,NA,NA,0.702715010949743,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","FALSE","5",13,0.104949641043301,0.000131957569697659,NA,NA,0.705807660473635,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","FALSE","6",9,0.0828478153393587,7.87609377975579e-05,NA,NA,0.862384926038365,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","FALSE","7",17,0.0577517046683491,5.95816574393479e-05,NA,NA,0.746175493031233,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","FALSE","8",18,0.0414229880451935,3.68809017268752e-05,NA,NA,0.747355360912226,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","FALSE","9",29,0.0754254913741947,7.13235898089472e-05,NA,NA,0.581332703779514,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","FALSE","10",17,0.0666345171884988,7.66161142163242e-05,NA,NA,0.807806036418643,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","TRUE","1",15,0.0694714956611441,8.97964484788222e-05,NA,NA,0.614707844790848,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","TRUE","2",11,0.1024208075212,0.000115065754601919,NA,NA,0.738616227907977,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","TRUE","3",19,0.0825013065351837,0.000135135350186894,NA,NA,0.829644543076467,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","TRUE","4",17,0.0750395182485774,0.000154523568607697,NA,NA,0.576277545355322,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","TRUE","5",10,0.0904353249508676,0.000191132412466628,NA,NA,0.506829130260319,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","TRUE","6",17,0.0878180846466266,0.000150060683424633,NA,NA,0.789858907005061,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","TRUE","7",14,0.0927418381766715,0.000170161755808954,NA,NA,0.531235098703084,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","TRUE","8",10,0.0994153881679302,0.000149850336136846,NA,NA,0.684823971305598,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","TRUE","9",14,0.222397303367646,0.000491484513910823,NA,NA,0.395869531956531,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","25","TRUE","10",11,0.100965029542043,0.000108582777598284,NA,NA,0.795652728542294,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","FALSE","1",20,0.109660728107126,0.00011663196379653,NA,NA,0.421927999960566,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","FALSE","2",11,0.248789579922979,0.000358933401035299,NA,NA,0.521562972742406,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","FALSE","3",7,0.137480887537686,0.000253504465914054,NA,NA,0.322605726286171,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","FALSE","4",17,0.107919599077248,0.000148321980110772,NA,NA,0.589163605724793,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","FALSE","5",15,0.240958008451744,0.000397055845489539,NA,NA,0.518723469077322,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","FALSE","6",15,0.11117268598123,0.000141831065433815,NA,NA,0.471881508893132,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","FALSE","7",23,0.204789954492586,0.000349716067030983,NA,NA,0.355335827792523,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","FALSE","8",28,0.15564578722362,0.000217496482638571,NA,NA,0.460307230408207,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","FALSE","9",16,0.209465237743596,0.000301716411539699,NA,NA,0.477842979814488,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","FALSE","10",17,0.336458680862213,0.000445354237322372,NA,NA,0.501495885104918,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","TRUE","1",6,0.111553590378951,0.000107102422882874,NA,NA,0.736970885847809,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","TRUE","2",17,0.185529136291051,0.00023164569089053,NA,NA,0.522374832988327,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","TRUE","3",19,0.101490615429421,0.000150550437834889,NA,NA,0.303774365382012,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","TRUE","4",18,0.253012285876237,0.000433354190769958,NA,NA,0.267332336341458,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","TRUE","5",12,0.108141378330483,0.000136657322203592,NA,NA,0.526908801698983,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","TRUE","6",31,0.0647173140069359,6.22483867645417e-05,NA,NA,0.627016500156372,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","TRUE","7",30,0.079032601544276,8.67822933715098e-05,NA,NA,0.342790480009357,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","TRUE","8",15,0.0956593464636089,0.000120308226690244,NA,NA,0.537350553119531,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","TRUE","9",9,0.225704566833156,0.00033777794763633,NA,NA,0.367070220417279,TRUE,NA,16,FALSE,FALSE,"Protist"
"25","30","TRUE","10",29,0.303979703062112,0.000385821185901062,NA,NA,0.333234228613101,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","25","TRUE","1",7,0.104018159325909,0.000118405859152447,NA,NA,0.598368689027622,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","25","TRUE","2",12,0.0761220014744589,0.000105307770825406,NA,NA,0.637731876169304,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","25","TRUE","3",17,0.177560519211504,0.000332159170193498,NA,NA,0.451573038256972,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","25","TRUE","4",8,0.0463948879551799,6.23452844482964e-05,NA,NA,0.71181140322987,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","25","TRUE","5",17,0.0538035397236351,7.46285369598074e-05,NA,NA,0.567676331369532,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","25","TRUE","6",17,0.0801765293035282,0.0001144795415809,NA,NA,0.837898847469709,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","25","TRUE","7",20,0.208166315395122,0.000432762233747861,NA,NA,0.284621485093329,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","25","TRUE","8",18,0.0733762281833208,0.000121462471402648,NA,NA,0.710474605725886,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","25","TRUE","9",17,0.0837094217702927,0.000114201011775505,NA,NA,0.606299129957318,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","25","TRUE","10",13,0.0855868156531464,0.000123256747554602,NA,NA,0.541205491233084,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","30","TRUE","1",12,0.118070168699687,0.000151080859504778,NA,NA,0.300498323388199,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","30","TRUE","2",16,0.0894954385021938,0.000109057286108236,NA,NA,0.619281105798262,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","30","TRUE","3",20,0.0941855896840246,0.000140378831249831,NA,NA,0.380618279066514,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","30","TRUE","4",14,0.0880786045951105,0.000133095228887501,NA,NA,0.55799552576791,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","30","TRUE","5",15,0.104514515718348,0.000144250127575548,NA,NA,0.461275714666332,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","30","TRUE","6",20,0.0826572417797564,0.000113213819073112,NA,NA,0.285958222613497,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","30","TRUE","7",20,0.112330608055702,0.000178400947552876,NA,NA,0.627693091698402,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","30","TRUE","8",17,0.0821663663061792,0.000116200302352929,NA,NA,0.373225210609537,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","30","TRUE","9",12,0.350323286171339,0.000498285174765832,NA,NA,0.358682106751382,TRUE,NA,16,FALSE,FALSE,"Protist"
"30","30","TRUE","10",24,0.0814644476401017,8.15663495385564e-05,NA,NA,0.437625219684606,TRUE,NA,16,FALSE,FALSE,"Protist"
