"evolvedTemp","currentTemp","competition","repNum","y0","r","alpha","r_boot_se","r_boot_lo","r_boot_hi","alpha_boot_se","alpha_boot_lo","alpha_boot_hi","n_boot_success"
"25","25","TRUE","1",15,0.142341226839902,0.000226901532379207,0.0218848620051149,0.10397458792352,0.183626989522647,5.03135727274076e-05,0.00014837926931542,0.000345329571926163,1000
"25","25","TRUE","2",11,0.140822768800398,0.000176102896585717,0.0141014221211007,0.117122191050245,0.169419449892266,2.67888261875646e-05,0.000130958002810649,0.000234755126328563,1000
"25","25","TRUE","3",19,0.097059457423845,0.000167319293159139,0.00999187383597419,0.0835578204496523,0.121787978974194,2.44327658461867e-05,0.000130337098395082,0.000226272671047069,1000
"25","25","TRUE","4",17,0.194909445686042,0.000484163189193867,0.037656948862304,0.140510573566628,0.29294136447255,0.000117788117590615,0.000318163749687091,0.000781756596117814,1000
"25","25","TRUE","5",10,0.187182479530239,0.000469748818674268,0.0288149343786629,0.126607816512501,0.24325719260978,0.000102511359616707,0.000298631333197688,0.000695778363606872,1000
"25","25","TRUE","6",17,0.0824085641636229,0.000143449899968076,0.00753657045346868,0.0685157255725128,0.0972868177224565,2.0538439711101e-05,0.000111687002728897,0.000189776088158207,1000
"25","25","TRUE","7",14,0.167399548774586,0.00035867940332662,0.0285355215353208,0.116987253827499,0.220444468072197,8.1686997384241e-05,0.000233201170870035,0.000540897420066724,1000
"25","25","TRUE","8",10,0.201972950604668,0.000352447464363702,0.0232797613750532,0.158343635805144,0.247076627680392,5.64594996046675e-05,0.000258309593144541,0.000479199614361183,1000
"25","25","TRUE","9",14,0.321861349880939,0.000775566623313361,0.338209550685362,0.216336411462252,1.57039440906139,0.000872588374262414,0.00047986017915945,0.00403084978230522,1000
"25","25","TRUE","10",11,0.167804531319793,0.000206607719585817,0.0177946159000348,0.133925322771153,0.19995547273401,3.15655785498679e-05,0.000151649624083942,0.000274406584036734,1000
"25","30","FALSE","1",20,0.151154317316743,0.000182751774296893,0.0227740018450339,0.11994268921104,0.206277587595108,3.5786869211988e-05,0.000128086832006648,0.000264751901978789,1000
"25","30","FALSE","2",11,0.238029096582705,0.000370304941136974,0.0314534485142918,0.171031936951956,0.289397489508113,7.54695282821126e-05,0.000247136506454182,0.000549704710517621,1000
"25","30","FALSE","3",7,0.33219928054517,0.000706333214096339,0.124255641365767,0.242404847545371,0.537860271511271,0.000348711229652197,0.000471885455822579,0.00131530130481215,1000
"25","30","FALSE","4",17,0.176087524796892,0.000267168281049363,0.0227433338289284,0.13753729391005,0.221714213750127,4.6053729904052e-05,0.000194658123290374,0.000370712585022808,1000
"25","30","FALSE","5",15,0.221857486956783,0.00038047238243836,0.0275486818293616,0.176864868382131,0.289312070886434,6.24296914474611e-05,0.000288376087309615,0.000534699315507105,1000
"25","30","FALSE","6",15,0.144246223737698,0.000212950116995757,0.0273619490277833,0.0968334325987185,0.200720624204085,5.99692313828203e-05,0.000124796346397627,0.000349298063590886,1000
"25","30","FALSE","7",23,0.193885755336001,0.000369368256189827,0.0475549569767666,0.118984298664089,0.309371916734103,0.000120479709855996,0.000211721028406056,0.000673787615678576,1000
"25","30","FALSE","8",28,0.150208711893039,0.000231180377938683,0.0291182200124087,0.0943808621057746,0.211786573437021,6.35459383306961e-05,0.000132915618618586,0.000388230752587906,1000
"25","30","FALSE","9",16,0.23753543593898,0.000370170081632464,0.0356556167336554,0.169376292890343,0.31104621732177,7.71655789227637e-05,0.00025378200710717,0.000565077519076423,1000
"25","30","FALSE","10",17,0.320592734197323,0.000442756192884137,0.0736067714630043,0.231729133760769,0.446792005311799,0.000132913543614293,0.00030589055255563,0.000690910032716914,1000
"25","30","TRUE","1",6,0.253235835169968,0.000299136554628942,0.0286038353882552,0.193362160887444,0.298521014884187,5.56292511140358e-05,0.000203642222273688,0.000419647780856885,1000
"25","30","TRUE","2",17,0.204856412865939,0.000280185202065724,0.0305208705335511,0.142970359659884,0.25596820347824,6.11050500811371e-05,0.000178168110245723,0.000420041561695344,1000
"25","30","TRUE","3",19,0.278272865432557,0.000588889051314973,0.518973717270692,0.0943074643456998,1.78732686128343,0.00184835116176883,0.000160646994741909,0.00669710744285168,1000
"25","30","TRUE","4",18,0.277168617092809,0.000535752745448639,0.35179026055426,0.179207083785731,1.59607916702264,0.0007283840375721,0.000319654355114847,0.00334432840566999,1000
"25","30","TRUE","5",12,0.234311682212786,0.000349720663926979,0.0339309933939995,0.174577438186374,0.308587572330217,7.09733801276859e-05,0.000236814627813924,0.000513589516031465,1000
"25","30","TRUE","6",31,0.0988227833768144,0.000114181667392101,0.0200173268255832,0.0683030200428176,0.143606765309451,3.294193513535e-05,6.81178162972931e-05,0.000191774703178746,1000
"25","30","TRUE","7",30,0.245334471031544,0.000338157565028992,0.184728826986713,0.156134852444077,0.684841455839904,0.000317132321225896,0.000200598530436416,0.00114022982276674,1000
"25","30","TRUE","8",15,0.269783990913456,0.000421420573720395,0.0621486917945631,0.180960490246527,0.388543746268914,0.000139898085742332,0.000255261507162075,0.000715170330006143,1000
