image_name,area_px
25_6.MP4.00_01_24_09.Still017__det0__cls1__crop00204_Simple Segmentation.tiff,3527
25_6.MP4.00_01_34_16.Still019__det1__cls1__crop00207_Simple Segmentation.tiff,4073
25_6.MP4.00_01_42_24.Still022__det6__cls1__crop00213_Simple Segmentation.tiff,165
25_6.MP4.00_01_59_04.Still026__det0__cls1__crop00215_Simple Segmentation.tiff,6244
25_6.MP4.00_01_59_04.Still026__det1__cls1__crop00216_Simple Segmentation.tiff,4918
25_6.MP4.00_02_06_03.Still028__det0__cls1__crop00217_Simple Segmentation.tiff,4504
25_6.MP4.00_02_24_12.Still032__det0__cls1__crop00220_Simple Segmentation.tiff,6409
25_6.MP4.00_02_27_24.Still033__det0__cls1__crop00221_Simple Segmentation.tiff,3238
25_6.MP4.00_02_33_23.Still035__det1__cls1__crop00228_Simple Segmentation.tiff,4745
25_7.MP4.00_00_20_01.Still004__det0__cls1__crop00231_Simple Segmentation.tiff,6052
25_7.MP4.00_00_21_28.Still005__det0__cls1__crop00232_Simple Segmentation.tiff,6293
25_7.MP4.00_00_32_14.Still006__det0__cls1__crop00233_Simple Segmentation.tiff,4440
25_7.MP4.00_00_35_28.Still007__det0__cls1__crop00234_Simple Segmentation.tiff,4092
25_7.MP4.00_00_41_12.Still008__det0__cls1__crop00235_Simple Segmentation.tiff,5570
25_7.MP4.00_00_44_08.Still009__det0__cls1__crop00236_Simple Segmentation.tiff,5047
25_7.MP4.00_00_48_03.Still010__det0__cls1__crop00237_Simple Segmentation.tiff,5721
25_7.MP4.00_00_48_03.Still010__det1__cls1__crop00238_Simple Segmentation.tiff,6653
25_7.MP4.00_00_55_18.Still011__det1__cls1__crop00239_Simple Segmentation.tiff,3045
25_7.MP4.00_01_03_14.Still012__det0__cls1__crop00240_Simple Segmentation.tiff,6135
25_7.MP4.00_01_03_14.Still012__det4__cls1__crop00241_Simple Segmentation.tiff,6177
25_7.MP4.00_01_11_01.Still014__det0__cls1__crop00242_Simple Segmentation.tiff,5050
25_7.MP4.00_01_11_01.Still014__det2__cls1__crop00243_Simple Segmentation.tiff,2589
25_7.MP4.00_01_13_03.Still015__det1__cls1__crop00244_Simple Segmentation.tiff,4093
25_7.MP4.00_01_13_03.Still015__det2__cls1__crop00245_Simple Segmentation.tiff,4142
25_7.MP4.00_01_14_19.Still016__det0__cls1__crop00246_Simple Segmentation.tiff,2981
25_7.MP4.00_01_14_19.Still016__det1__cls1__crop00247_Simple Segmentation.tiff,5276
25_7.MP4.00_01_22_10.Still018__det1__cls1__crop00249_Simple Segmentation.tiff,3004
25_7.MP4.00_01_22_10.Still018__det2__cls1__crop00250_Simple Segmentation.tiff,4138
25_7.MP4.00_01_37_09.Still024__det0__cls1__crop00254_Simple Segmentation.tiff,6439
25_7.MP4.00_01_43_18.Still025__det0__cls1__crop00255_Simple Segmentation.tiff,4544
25_7.MP4.00_01_49_06.Still026__det0__cls1__crop00256_Simple Segmentation.tiff,4072
25_7.MP4.00_01_53_12.Still028__det0__cls1__crop00257_Simple Segmentation.tiff,5476
25_7.MP4.00_01_53_12.Still028__det1__cls1__crop00258_Simple Segmentation.tiff,4891
25_7.MP4.00_02_02_07.Still029__det1__cls1__crop00259_Simple Segmentation.tiff,5427
25_8.MP4.00_00_10_19.Still002__det1__cls1__crop00261_Simple Segmentation.tiff,3048
25_8.MP4.00_00_19_27.Still003__det0__cls1__crop00262_Simple Segmentation.tiff,3129
25_8.MP4.00_00_26_04.Still004__det0__cls1__crop00263_Simple Segmentation.tiff,5382
25_8.MP4.00_00_29_15.Still006__det0__cls1__crop00264_Simple Segmentation.tiff,5010
25_8.MP4.00_00_32_09.Still007__det0__cls1__crop00265_Simple Segmentation.tiff,4301
25_8.MP4.00_00_38_15.Still009__det0__cls1__crop00267_Simple Segmentation.tiff,4279
25_8.MP4.00_00_46_26.Still010__det0__cls1__crop00268_Simple Segmentation.tiff,3126
25_8.MP4.00_00_59_06.Still013__det1__cls1__crop00271_Simple Segmentation.tiff,3706
25_8.MP4.00_01_09_02.Still015__det0__cls1__crop00273_Simple Segmentation.tiff,4598
25_8.MP4.00_01_09_02.Still015__det1__cls1__crop00274_Simple Segmentation.tiff,4716
25_8.MP4.00_01_16_08.Still017__det0__cls1__crop00276_Simple Segmentation.tiff,7066
25_8.MP4.00_01_24_22.Still020__det0__cls1__crop00279_Simple Segmentation.tiff,6052
25_8.MP4.00_01_38_11.Still022__det0__cls1__crop00281_Simple Segmentation.tiff,2708
25_8.MP4.00_01_38_11.Still022__det1__cls1__crop00282_Simple Segmentation.tiff,3500
25_8.MP4.00_01_38_11.Still022__det2__cls1__crop00283_Simple Segmentation.tiff,3939
25_8.MP4.00_01_40_22.Still023__det0__cls1__crop00284_Simple Segmentation.tiff,3711
25_8.MP4.00_01_43_01.Still024__det0__cls1__crop00286_Simple Segmentation.tiff,4033
25_8.MP4.00_01_48_20.Still025__det0__cls1__crop00288_Simple Segmentation.tiff,4947
