"site","leaf","clone","replicate","y0","mumax","K","treatment","logmu"
"Pleaphase",6,17,3,0.991109974247828,0.188106545841202,58.690148031388,"low",0.172360901970506
"Crystal",1,1,4,4.30602390299491,0.126920093729179,42.0075335113017,"high",0.119488330795259
"Crystal",1,2,4,0.292917405179048,0.440995962091476,34.1350212552991,"high",0.36533451485626
"Crystal",2,3,4,0.192391264564767,0.495280628737059,37.5703400938267,"high",0.40231390075685
"Crystal",2,4,4,9.38828941173546,0.0748184033915845,199.999927969025,"high",0.0721517202322446
"Crystal",2,5,4,1.28482289243582,0.271659454894681,57.8786660248359,"high",0.240322704934023
"Crystal",3,6,4,0.0768875336494068,0.429409566998001,48.6958567355132,"high",0.357261468797994
"Crystal",3,7,4,0.00153568314561148,0.599999869513129,40.891256374408,"high",0.470003547691438
"Crystal",3,8,4,0.102110373097559,0.59999976030004,34.6127773815722,"high",0.470003479433249
"Pleaphase",4,9,4,5.63446320717235,0.0744923573658584,55.6430177947691,"high",0.0718483243397751
"Pleaphase",4,10,4,1.78297341335263,0.203071994333457,59.5692022610025,"high",0.184878280865583
"Pleaphase",4,11,4,4.53747376318988,0.109092907816031,66.2855417145542,"high",0.103542481068425
"Pleaphase",5,12,4,0.343857463681185,0.599999946361831,42.5231448016297,"high",0.470003595721879
"Pleaphase",5,13,4,0.983788129832606,0.318232707691269,52.9114703372016,"high",0.276291981717728
"Pleaphase",5,14,4,7.35155830233882,0.0911114122037575,98.3123876938943,"high",0.0871968209806077
"Pleaphase",6,15,4,3.20739612924198,0.104273263175111,97.4112229333864,"high",0.0991874382185853
"Pleaphase",6,16,4,9.2161940992895,0.0545044352597373,199.999796364282,"high",0.0530709269588922
"Pleaphase",6,17,4,0.0723769115212419,0.59999983965508,43.3754636054998,"high",0.470003529030156
"Crystal",1,1,5,1.80385361643124,0.234305097962618,51.5329656778827,"high",0.2105081380052
"Crystal",1,2,5,1.87859776873411e-05,0.40678095293205,199.999982555876,"high",0.341304082239746
"Crystal",2,3,5,2.00837901663189,0.225271865181805,68.1874224883858,"high",0.203162750134359
"Crystal",2,4,5,2.19423570403724,0.179383847822848,73.1965887845168,"high",0.164992139241078
"Crystal",2,5,5,0.114007381375207,0.53695819407607,43.2958289999157,"high",0.42980526449628
"Crystal",3,6,5,5.9204103545035,0.0794218116736034,30.0000142405454,"high",0.076425538218553
"Crystal",3,7,5,0.00121796675951524,0.599999844769321,38.8179587902718,"high",0.470003532226557
"Crystal",3,8,5,9.9999984029886,0.0704014334953566,189.557390464217,"high",0.0680337496055758
"Pleaphase",4,9,5,4.33491763304375,0.102462053034468,90.7815910616939,"high",0.0975459087301605
"Pleaphase",4,10,5,0.0461749984789089,0.586436077313699,34.5840188113112,"high",0.461490039589735
"Pleaphase",4,11,5,0.86428955498138,0.243320516652463,41.2917895657453,"high",0.217785636612068
"Pleaphase",5,12,5,0.1190421317938,0.599999908213743,40.4918972410114,"high",0.470003571879323
"Pleaphase",5,13,5,1.77334131082633,0.250764375153663,54.8556908714359,"high",0.223754864547125
"Pleaphase",5,14,5,0.0346698864745038,0.599999570334659,40.144071674671,"high",0.470003360704861
"Pleaphase",6,15,5,3.92739923490341,0.128807424063481,30.0000143122629,"high",0.121161698486895
"Pleaphase",6,16,5,6.53790581056832,0.0827227514831022,199.998773687806,"high",0.0794789347678545
"Pleaphase",6,17,5,1.17757264362169,0.243336330255908,41.2205981434276,"high",0.217798355378201
"Crystal",1,1,6,0.614924129086892,0.262910249823479,40.9935049116292,"high",0.233418779737677
"Crystal",1,2,6,2.90407489331932,0.166387078183725,40.5450601340749,"high",0.15391100383617
"Crystal",2,3,6,2.02677739589933,0.244770450608286,47.1471057280402,"high",0.218951135895682
"Crystal",2,4,6,3.60888304961955,0.0824416932736401,199.999873463109,"high",0.0792193164171825
"Crystal",2,5,6,6.09681104182512,0.127869626326727,78.6418260228648,"high",0.12033056689846
"Crystal",3,6,6,1.62999705160389,0.253192053005929,34.6971937370025,"high",0.225693938714421
"Crystal",3,7,6,4.78741464770382,0.112833166742792,69.4739917885762,"high",0.106909165948212
"Crystal",3,8,6,0.83817301182643,0.331170083299695,60.340878402074,"high",0.286058317349473
"Pleaphase",4,9,6,6.16896123682395,0.0727996324337847,199.999903884685,"high",0.0702717103620299
"Pleaphase",4,10,6,5.54894964337024,0.100826380079334,113.162353155297,"high",0.0960611523714032
"Pleaphase",4,11,6,6.5451884493759,0.0603255254412134,162.370663838489,"high",0.0585759604514275
"Pleaphase",5,12,6,4.53701081438242,0.174899136376276,60.1867841247432,"high",0.161182302529648
"Pleaphase",5,13,6,2.28205880696206,0.250805081284299,55.1054223466409,"high",0.223787409020783
"Pleaphase",5,14,6,0.462406657426403,0.486335942546741,30.8344973500176,"high",0.396313992445575
"Pleaphase",6,15,6,4.828894012743,0.0759370346107401,123.197758169505,"high",0.0731919420075884
"Pleaphase",6,16,6,1.73638554603156,0.29025015479597,71.8687087024687,"high",0.254836118020318
"Pleaphase",6,17,6,6.42148599055633,0.0861664282395565,109.942014715076,"high",0.0826544586097104
