Day,CloneID,Rep,Count,Contaminated
7,2.3,8,59,FALSE
7,2.4,1,0,FALSE
7,2.4,2,1,FALSE
7,2.4,3,9,FALSE
7,2.4,4,2,FALSE
7,2.4,5,0,FALSE
7,2.4,6,0,FALSE
7,2.4,7,1,FALSE
7,2.4,8,1,FALSE
7,2.5,1,26,TRUE
7,2.5,2,23,TRUE
7,2.5,3,18,TRUE
7,2.5,4,42,TRUE
7,2.5,5,25,TRUE
7,2.5,6,29,TRUE
7,2.5,7,33,TRUE
7,2.5,8,36,TRUE
8,1.2,1,22,TRUE
8,1.2,2,5,TRUE
8,1.2,3,10,FALSE
8,1.2,4,3,TRUE
8,1.2,5,5,TRUE
8,1.2,6,5,TRUE
8,1.2,7,10,TRUE
8,1.2,8,8,TRUE
8,1.5,1,52,TRUE
8,1.5,2,37,TRUE
8,1.5,3,37,TRUE
8,1.5,4,48,FALSE
8,1.5,5,43,TRUE
8,1.5,6,38,TRUE
8,1.5,7,27,FALSE
8,1.5,8,32,TRUE
8,1.7,1,45,FALSE
8,1.7,2,61,FALSE
8,1.7,3,66,FALSE
8,1.7,4,80,FALSE
8,1.7,5,61,FALSE
8,1.7,6,52,TRUE
8,1.7,7,57,FALSE
8,1.7,8,63,TRUE
8,2.3,1,68,FALSE
8,2.3,2,72,FALSE
8,2.3,3,60,FALSE
8,2.3,4,55,FALSE
8,2.3,5,78,FALSE
8,2.3,6,81,TRUE
8,2.3,7,93,FALSE
8,2.3,8,82,FALSE
8,2.4,1,0,FALSE
8,2.4,2,3,FALSE
8,2.4,3,18,FALSE
8,2.4,4,5,FALSE
8,2.4,5,0,FALSE
8,2.4,6,0,FALSE
8,2.4,7,0,FALSE
8,2.4,8,1,FALSE
8,2.5,1,34,TRUE
8,2.5,2,29,FALSE
8,2.5,3,31,TRUE
8,2.5,4,41,TRUE
8,2.5,5,40,TRUE
8,2.5,6,53,TRUE
8,2.5,7,47,TRUE
8,2.5,8,56,TRUE
9,1.2,1,19,TRUE
9,1.2,2,16,TRUE
9,1.2,3,14,TRUE
9,1.2,4,11,TRUE
9,1.2,5,16,TRUE
9,1.2,6,10,TRUE
9,1.2,7,14,TRUE
9,1.2,8,14,TRUE
9,1.5,1,24,TRUE
9,1.5,2,56,TRUE
9,1.5,3,38,TRUE
9,1.5,4,57,FALSE
9,1.5,5,67,FALSE
9,1.5,6,76,TRUE
9,1.5,7,54,TRUE
9,1.5,8,51,TRUE
9,1.7,1,71,FALSE
9,1.7,2,47,FALSE
9,1.7,3,73,FALSE
9,1.7,4,72,FALSE
9,1.7,5,40,FALSE
9,1.7,6,107,TRUE
9,1.7,7,79,FALSE
9,1.7,8,64,TRUE
9,2.3,1,44,FALSE
9,2.3,2,31,FALSE
9,2.3,3,48,FALSE
9,2.3,4,36,FALSE
9,2.3,5,68,FALSE
9,2.3,6,54,TRUE
9,2.3,7,58,FALSE
9,2.3,8,40,FALSE
9,2.4,1,1,FALSE
9,2.4,2,2,TRUE
9,2.4,3,46,FALSE
9,2.4,4,8,FALSE
9,2.4,5,0,FALSE
9,2.4,6,2,FALSE
9,2.4,7,0,FALSE
9,2.4,8,1,FALSE
9,2.5,1,44,TRUE
9,2.5,2,24,TRUE
9,2.5,3,42,TRUE
9,2.5,4,33,TRUE
9,2.5,5,27,TRUE
9,2.5,6,55,TRUE
9,2.5,7,39,TRUE
9,2.5,8,42,TRUE
10,1.2,1,33,TRUE
10,1.2,2,30,TRUE
10,1.2,3,21,TRUE
10,1.2,4,20,TRUE
10,1.2,5,25,TRUE
10,1.2,6,30,TRUE
10,1.2,7,32,TRUE
10,1.2,8,39,FALSE
10,1.5,1,71,FALSE
10,1.5,2,127,FALSE
10,1.5,3,113,FALSE
10,1.5,4,157,FALSE
10,1.5,5,108,FALSE
10,1.5,6,98,FALSE
10,1.5,7,146,FALSE
10,1.5,8,146,FALSE
10,1.7,1,129,FALSE
10,1.7,2,110,TRUE
10,1.7,3,158,FALSE
10,1.7,4,179,FALSE
10,1.7,5,89,TRUE
10,1.7,6,246,FALSE
10,1.7,7,149,FALSE
10,1.7,8,129,FALSE
10,2.3,1,104,FALSE
